Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,language
4,"M Xu, D Niyato, J Kang, Z Xiong, C Miao…",Wireless Edge-Empowered Metaverse: A Learning-Based Incentive Mechanism for Virtual Reality,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2111.03776,"https://scholar.google.com/scholar?cites=4722182742366966989&as_sdt=2005&sciodt=0,5&hl=en",13,2022-02-14 11:32:39,,,,,,,,,4,4.0,1,6,1.0,"The Metaverse is regarded as the next-generation Internet … in wireless edge-empowered Metaverse can immerse in the … framework for VR services in the Metaverse. First, we propose …",https://arxiv.org/pdf/2111.03776,"https://scholar.google.com/scholar?q=related:zVRDWy-QiEEJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
4,"WC Ng, WYB Lim, JS Ng, Z Xiong, D Niyato…",Unified resource allocation framework for the edge intelligence-enabled metaverse,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2110.14325,"https://scholar.google.com/scholar?cites=13128905196908533879&as_sdt=2005&sciodt=0,5&hl=en",14,2022-02-14 11:32:39,,,,,,,,,4,4.0,1,6,1.0,… proposed 3D English Education Metaverse prototype through the implemented metaverse viewer. The metaverse viewer is built for the users to interact with the metaverse. By using the …,https://arxiv.org/pdf/2110.14325,"https://scholar.google.com/scholar?q=related:d1iDd7c9M7YJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
4,"SM Park, YG Kim","A Metaverse: taxonomy, components, applications, and open challenges",2022.0,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9667507/,"https://scholar.google.com/scholar?cites=13132827393392696752&as_sdt=2005&sciodt=0,5&hl=en",15,2022-02-14 11:32:39,,,,,,,,,4,4.0,2,2,1.0,"… of Metaverse suitable for the present, different from the previous Metaverse. This paper divides the concepts and essential techniques necessary for realizing the Metaverse into three …",https://ieeexplore.ieee.org/iel7/6287639/9668973/09667507.pdf,"https://scholar.google.com/scholar?q=related:sN2w_-4sQbYJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
2,J Kim,Advertising in the Metaverse: Research Agenda,2021.0,Journal of Interactive Advertising,Taylor & Francis,https://www.tandfonline.com/doi/full/10.1080/15252019.2021.2001273,"https://scholar.google.com/scholar?cites=17003096645703694500&as_sdt=2005&sciodt=0,5&hl=en",16,2022-02-14 11:32:39,HTML,10.1080/15252019.2021.2001273,,,,,,,2,2.0,2,1,1.0,"Metaverse is a term that has been gaining traction in the tech world since 2020. The term metaverse, a threedimensional virtual world inhabited by avatars of real people—and coined …",https://www.tandfonline.com/doi/full/10.1080/15252019.2021.2001273,"https://scholar.google.com/scholar?q=related:pPjNIFAi9-sJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
60,D Terdiman,The entrepreneur's guide to Second Life: Making money in the metaverse,2007.0,,books.google.com,https://books.google.com/books?hl=en&lr=&id=7neRdq6VjvQC&oi=fnd&pg=PA6&dq=metaverse&ots=aXmeGMUB77&sig=WkQdwp-WZ4nt3ugrTZqxXfG-eUA,"https://scholar.google.com/scholar?cites=1629716055836438053&as_sdt=2005&sciodt=0,5&hl=en",17,2022-02-14 11:32:39,BOOK,,,,,,,,60,4.0,60,1,15.0,"Business is booming in Second Life, and many residents are earning big bucks in-world—and so can you. This unique guide walks you through what it takes to launch and run a …",,"https://scholar.google.com/scholar?q=related:Ja7hQB7qnRYJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
3,"Y Han, D Niyato, C Leung, C Miao, DI Kim",A Dynamic Resource Allocation Framework for Synchronizing Metaverse with IoT Service and Data,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2111.00431,"https://scholar.google.com/scholar?cites=6833044711983022789&as_sdt=2005&sciodt=0,5&hl=en",18,2022-02-14 11:32:39,,,,,,,,,3,3.0,1,5,1.0,"… the Metaverse, so that new polices, eg, traffic intervention, could be A/B tested in the Metaverse … The benefits of having digital twins in the Metaverse are obvious, as the Metaverse can …",https://arxiv.org/pdf/2111.00431,"https://scholar.google.com/scholar?q=related:xQIcaPbZ014J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
2,"H Ning, H Wang, Y Lin, W Wang, S Dhelim…","A Survey on Metaverse: the State-of-the-art, Technologies, Applications, and Challenges",2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2111.09673,"https://scholar.google.com/scholar?cites=6009685512733946404&as_sdt=2005&sciodt=0,5&hl=en",19,2022-02-14 11:32:39,,,,,,,,,2,2.0,0,6,1.0,"… development status of the Metaverse, starting from the definition of the Metaverse, and presents … of the Metaverse. Section 2 introduces the development status of Metaverse. Section 3 …",https://arxiv.org/pdf/2111.09673,"https://scholar.google.com/scholar?q=related:JHJRFiKxZlMJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
26,KJL Nevelsteen,"Virtual world, defined from a technological perspective and applied to video games, mixed reality, and the Metaverse",2018.0,Computer Animation and Virtual Worlds,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/cav.1752,"https://scholar.google.com/scholar?cites=3048041713397760767&as_sdt=2005&sciodt=0,5&hl=en",20,2022-02-14 11:32:39,,10.1002/cav.1752,,,,,,,26,6.5,26,1,4.0,"… In addition, Spence considers the Metaverse a virtual world, whereas in this article, the Metaverse is considered to be similar to the Internet, in accordance with Dionisio, Burns III, and …",https://onlinelibrary.wiley.com/doi/pdf/10.1002/cav.1752,"https://scholar.google.com/scholar?q=related:_4KlA8rRTCoJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
36,S Sonvilla-Weiss,VISIBLE-Learning to Act in the Metaverse,2008.0,,research.aalto.fi,https://research.aalto.fi/en/publications/invisible-learning-to-act-in-the-metaverse,"https://scholar.google.com/scholar?cites=16236458732680578197&as_sdt=2005&sciodt=0,5&hl=en",21,2022-02-14 11:32:39,BOOK,,,,,,,,36,2.57,36,1,14.0,(IN)VISIBLE - Learning to Act in the Metaverse — Aalto University's research portal … (IN)VISIBLE - Learning to Act in the Metaverse … Fingerprint Dive into the research topics of '(IN)VISIBLE …,,"https://scholar.google.com/scholar?q=related:lQS3YzF9U-EJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
47,"C Jaynes, WB Seales, K Calvert, Z Fei…","The Metaverse: a networked collection of inexpensive, self-configuring, immersive environments",2003.0,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/769953.769967,"https://scholar.google.com/scholar?cites=17909871247044141431&as_sdt=2005&sciodt=0,5&hl=en",22,2022-02-14 11:32:39,,10.1145/769953.769967,,,,,,,47,2.47,9,5,19.0,"… We address these issues in the design of the Metaverse. In particular, the … collaboration between Metaverse portals. Finally, we describe a prototype implementation of the Metaverse. …",https://dl.acm.org/doi/pdf/10.1145/769953.769967,"https://scholar.google.com/scholar?q=related:d2EMNQKljPgJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
1,"A Siyaev, GS Jo",Neuro-Symbolic Speech Understanding in Aircraft Maintenance Metaverse,2021.0,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9617584/,"https://scholar.google.com/scholar?cites=18010482159810176145&as_sdt=2005&sciodt=0,5&hl=en",23,2022-02-14 11:32:39,,,,,,,,,1,1.0,1,2,1.0,"… This paper proposes the metaverse for aircraft maintenance … control operational flow in the metaverse, which is strictly followed … The proposed Aircraft Maintenance Metaverse is a cheap …",https://ieeexplore.ieee.org/iel7/6287639/9312710/09617584.pdf,"https://scholar.google.com/scholar?q=related:keT-yBkW8vkJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",azerbaijani
8,"K MacCallum, D Parsons",Teacher perspectives on mobile augmented reality: The potential of metaverse for learning,2019.0,World Conference on Mobile and …,learntechlib.org,https://www.learntechlib.org/p/210597/,"https://scholar.google.com/scholar?cites=14706281407575474323&as_sdt=2005&sciodt=0,5&hl=en",24,2022-02-14 11:32:39,,,,,,,,,8,2.67,4,2,3.0,… Through this activity the participants could explore how Metaverse enabled the integration of virtual objects into experiences (we used virtual objects provided within Metaverse but drew …,https://www.learntechlib.org/p/210597/proceedings_210597.pdf,"https://scholar.google.com/scholar?q=related:k8B34QU1F8wJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
1,"Y Jiang, J Kang, D Niyato, X Ge, Z Xiong…",Reliable Coded Distributed Computing for Metaverse Services: Coalition Formation and Incentive Mechanism Design,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2111.10548,"https://scholar.google.com/scholar?cites=6766146570910890810&as_sdt=2005&sciodt=0,5&hl=en",25,2022-02-14 11:32:39,,,,,,,,,1,1.0,0,6,1.0,"… graphic and audio rendering from metaverse service providers cannot be … metaverse services. Therefore, this paper introduces a reliable collaborative CDC framework for metaverse. In …",https://arxiv.org/pdf/2111.10548,"https://scholar.google.com/scholar?q=related:OvteKXUu5l0J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
1,"LH Lee, Z Lin, R Hu, Z Gong, A Kumar, T Li, S Li…",When Creators Meet the Metaverse: A Survey on Computational Arts,2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2111.13486,"https://scholar.google.com/scholar?cites=4416948744171693205&as_sdt=2005&sciodt=0,5&hl=en",26,2022-02-14 11:32:39,,,,,,,,,1,1.0,0,8,1.0,"The metaverse, enormous virtual-physical cyberspace, has brought unprecedented opportunities for artists to blend every corner of our physical surroundings with digital creativity. This …",https://arxiv.org/pdf/2111.13486,"https://scholar.google.com/scholar?q=related:lSR2F3snTD0J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
6,BK Lee,The Metaverse World and Our Future,2021.0,Review of Korea Contents Association,koreascience.or.kr,https://www.koreascience.or.kr/article/JAKO202119759273785.page,"https://scholar.google.com/scholar?cites=13532807301671904878&as_sdt=2005&sciodt=0,5&hl=en",27,2022-02-14 11:32:39,,,,,,,,,6,6.0,6,1,1.0,"… In this ar ticle, we explore the metaverse world that expresses … zepeto, the most popular metaverse service platf orm in Korea, … This confir ms the impact and appearance of the metaverse …",https://www.koreascience.or.kr/article/JAKO202119759273785.pdf,"https://scholar.google.com/scholar?q=related:bmb3fYowzrsJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
4,JY Lee,A study on metaverse hype for sustainable growth,2021.0,International journal of advanced smart convergence,koreascience.or.kr,https://www.koreascience.or.kr/article/JAKO202128054633800.page,"https://scholar.google.com/scholar?cites=2809429761317578505&as_sdt=2005&sciodt=0,5&hl=en",28,2022-02-14 11:32:39,,,,,,,,,4,4.0,4,1,1.0,"… for ‘메타버스’ or ‘metaverse’ in Korea with the traffic searched for ‘metaverse’ all over the … metaverse-related stocks, metaverse coin (virtual currency), metaverse games, and metaverse …",https://www.koreascience.or.kr/article/JAKO202128054633800.pdf,"https://scholar.google.com/scholar?q=related:Cae-oHsZ_SYJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
14,"B Ryskeldiev, Y Ochiai, M Cohen, J Herder",Distributed metaverse: creating decentralized blockchain-based model for peer-to-peer sharing of virtual spaces for mixed reality applications,2018.0,Proceedings of the 9th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3174910.3174952,"https://scholar.google.com/scholar?cites=9429066932314115395&as_sdt=2005&sciodt=0,5&hl=en",29,2022-02-14 11:32:39,,10.1145/3174910.3174952,,,,,,,14,3.5,4,4,4.0,Mixed reality telepresence is becoming an increasingly popular form of interaction in social and collaborative applications. We are interested in how created virtual spaces can be …,https://dl.acm.org/doi/pdf/10.1145/3174910.3174952,"https://scholar.google.com/scholar?q=related:Qw3352rG2oIJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
2,RK Bolger,Finding Wholes in the Metaverse: Posthuman Mystics as Agents of Evolutionary Contextualization,2021.0,Religions,mdpi.com,https://www.mdpi.com/2077-1444/12/9/768,"https://scholar.google.com/scholar?cites=7459310539632616238&as_sdt=2005&sciodt=0,5&hl=en",30,2022-02-14 11:32:39,,,,,,,,,2,2.0,2,1,1.0,"… might be most closely aligned with the culture of the Metaverse? For reasons I will make clear below, I will engage the Metaverse with the evolutionary wholemaking tools the Christian …",https://www.mdpi.com/2077-1444/12/9/768/pdf,"https://scholar.google.com/scholar?q=related:LiMhKGrLhGcJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
21,"SG Lee, S Trimi, WK Byun, M Kang",Innovation and imitation effects in Metaverse service adoption,2011.0,Service Business,Springer,https://link.springer.com/article/10.1007/s11628-011-0108-8,"https://scholar.google.com/scholar?cites=2874267568150571389&as_sdt=2005&sciodt=0,5&hl=en",31,2022-02-14 11:32:39,,10.1007/s11628-011-0108-8,,,,,,,21,1.91,5,4,11.0,"This study examines the innovation and imitation effects in Metaverse service adoption. “Metaverse services” is a collective term for services such as Augmented reality, Life logging, …",https://www.academia.edu/download/47165418/DF610879d01.pdf,"https://scholar.google.com/scholar?q=related:fWkK7R9z4ycJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
34,C Collins,Looking to the future: Higher education in the Metaverse,2008.0,Educause Review,uh.cu,http://www.uh.cu/static/documents/RDA/Looking%20to%20the%20future.pdf,"https://scholar.google.com/scholar?cites=12060107965565592536&as_sdt=2005&sciodt=0,5&hl=en",32,2022-02-14 11:32:39,PDF,,,,,,,,34,2.43,34,1,14.0,"… Though the current state of the emerging metaverse is far from the seamlessly integrated … metaverse is a complex concept. For the purposes of this article, the definition in the Metaverse …",http://www.uh.cu/static/documents/RDA/Looking%20to%20the%20future.pdf,"https://scholar.google.com/scholar?q=related:2GNlKEwcXqcJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
30,"S Van der Land, A Schouten…",Modeling the metaverse: a theoretical model of effective team collaboration in 3D virtual environments,2011.0,Journal of Virtual Worlds …,learntechlib.org,https://www.learntechlib.org/p/178160/,"https://scholar.google.com/scholar?cites=8513007117487332957&as_sdt=2005&sciodt=0,5&hl=en",33,2022-02-14 11:32:39,,,,,,,,,30,2.73,10,3,11.0,"In this paper, a theoretical model of effective team collaboration in 3D virtual environments is presented. The aim of this model is to enhance our understanding of the capabilities …",https://www.learntechlib.org/p/178160/article_178160.pdf,"https://scholar.google.com/scholar?q=related:XV40mN5GJHYJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
18,"E Gadalla, K Keeling, I Abosag",Metaverse-retail service quality: A future framework for retail service quality in the 3D internet,2013.0,Journal of Marketing …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/0267257X.2013.835742,"https://scholar.google.com/scholar?cites=6886510625848987682&as_sdt=2005&sciodt=0,5&hl=en",34,2022-02-14 11:32:39,,10.1080/0267257X.2013.835742,,,,,,,18,2.0,6,3,9.0,"… Metaverse environment, the untested application of existing e-service quality models (eg, Parasuraman, Zeithaml, & Malhotra, 2005) to Metaverse … determinants of Metaverse Retailing …",http://eprints.soas.ac.uk/21182/1/Main%20document%20with%20authors%20information%20-V-Service%20Quality-%20Special%20issue.3.pdf,"https://scholar.google.com/scholar?q=related:IpCui-3MkV8J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
6,"S Suzuki, H Kanematsu, DM Barry, N Ogawa…",Virtual Experiments in Metaverse and their Applications to Collaborative Projects: The framework and its significance,2020.0,Procedia Computer …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877050920321529,"https://scholar.google.com/scholar?cites=2980225960096044720&as_sdt=2005&sciodt=0,5&hl=en",35,2022-02-14 11:32:39,,,,,,,,,6,3.0,1,5,2.0,… for the learning system in metaverse is explained. The … We focused on metaverse to achieve the establishment of a … instruments by using prims in metaverse and carry out the virtual …,https://www.sciencedirect.com/science/article/pii/S1877050920321529/pdf?md5=cfc2077ee5e12b201b1eeb3aac24333d&pid=1-s2.0-S1877050920321529-main.pdf,"https://scholar.google.com/scholar?q=related:sBbshbjjWykJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
4,"SY Ko, HK Chung, JI Kim, Y Shin",A Study on the Typology and Advancement of Cultural Leisure-Based Metaverse,2021.0,KIPS Transactions on …,koreascience.or.kr,https://www.koreascience.or.kr/article/JAKO202125141262150.page,"https://scholar.google.com/scholar?cites=5272397437457737797&as_sdt=2005&sciodt=0,5&hl=en",36,2022-02-14 11:32:39,,,,,,,,,4,4.0,1,4,1.0,… the Metaverse era is blooming we also investigated the development trends of the Metaverse … It is meaningful that this research presents directions on further Metaverse research that …,https://www.koreascience.or.kr/article/JAKO202125141262150.pdf,"https://scholar.google.com/scholar?q=related:RShZ9ohRK0kJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
4,D van der Merwe,The Metaverse as Virtual Heterotopia,2021.0,3rd world conference on research in social …,dpublication.com,https://www.dpublication.com/wp-content/uploads/2021/10/41-20250.pdf,"https://scholar.google.com/scholar?cites=15362022802036004001&as_sdt=2005&sciodt=0,5&hl=en",37,2022-02-14 11:32:39,PDF,,,,,,,,4,4.0,4,1,1.0,… -powered metaverse … metaverse and its heterotopic nature to question larger concerns at play regarding the essential nature of personhood and relationships within the metaverse…,https://www.dpublication.com/wp-content/uploads/2021/10/41-20250.pdf,"https://scholar.google.com/scholar?q=related:oZTO0ljeMNUJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
22,"DM Barry, H Kanematsu, Y Fukumura, N Ogawa…",International comparison for problem based learning in metaverse,2009.0,The ICEE and …,ineer.org,https://www.ineer.org/Events/ICEEiCEER2009/full_papers/full_paper_145.pdf,"https://scholar.google.com/scholar?cites=15054205350546190752&as_sdt=2005&sciodt=0,5&hl=en",38,2022-02-14 11:32:39,PDF,,,,,,,,22,1.69,4,5,13.0,"… Also three dimensional virtual space services called Metaverse … Metaverse offers complementary activities between … Fukumura and Kanematsu, decided to try a PBL project in …",https://www.ineer.org/Events/ICEEiCEER2009/full_papers/full_paper_145.pdf,"https://scholar.google.com/scholar?q=related:oDEXdwFI69AJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
